order_date,Sales_QTY,Sales_amount,currency,User_id,Restaurant_id
2017-10-10,100,41241,INR,49226,567335.0
2018-05-08,3,-1,INR,77359,531342.0
2018-04-06,1,875,INR,5321,158203.0
2018-04-11,1,583,INR,21343,187912.0
2018-06-18,6,7176,INR,75378,543530.0
2017-11-20,59,500,INR,34323,158204.0
2017-11-22,36,250,INR,33246,156588.0
2017-11-23,39,21412,INR,87420,244866.0
2017-11-27,35,19213,INR,31017,156602.0
2017-11-28,310,170185,INR,72391,158193.0
2017-11-29,184,101194,INR,91457,407249.0
2017-11-30,35,19213,INR,33851,156590.0
2017-11-29,17,9426,INR,27008,338749.0
2017-12-19,1,218,INR,47798,156601.0
2018-08-07,5,3093,INR,58443,156587.0
2017-12-04,58,30306,INR,32969,158192.0
2018-06-29,38,52319,INR,29585,394554.0
2018-07-02,93,126296,INR,29210,158195.0
2018-07-03,79,107500,INR,44025,257181.0
2018-07-04,1,273,INR,81729,530909.0
2018-07-06,3,3574,INR,55846,573649.0
2018-07-13,1,273,INR,56648,573656.0
2019-06-07,20,23403,INR,7018,420675.0
2019-07-29,81,76329,INR,29312,427610.0
2019-08-01,5,4542,INR,68553,435582.0
2019-09-19,18,16579,INR,5753,382204.0
2019-09-27,90,105301,INR,80146,460692.0
2017-10-09,1,185,INR,41882,368328.0
2017-10-13,1,556,INR,572,530878.0
2017-10-27,1,551,INR,53990,171675.0
2017-11-03,1,167,INR,22718,475283.0
2017-11-06,1,333,INR,40886,421155.0
2017-11-10,1,500,INR,90799,545273.0
2017-11-16,1,333,INR,59075,440811.0
2017-11-17,1,333,INR,79488,420586.0
2017-11-27,1,500,INR,9738,448046.0
2017-12-04,1,833,INR,61303,187921.0
2017-12-08,1,167,INR,70795,551512.0
2017-12-11,1,833,INR,25283,351387.0
2017-12-18,1,1000,INR,38951,432675.0
2017-12-27,2,1833,INR,63358,302868.0
2017-12-28,1,167,INR,23510,567664.0
2018-01-05,1,167,INR,55123,440878.0
2018-01-08,1,833,INR,76741,161396.0
2018-01-22,1,167,INR,26983,382249.0
2018-02-21,26,10657,INR,56760,161408.0
2018-02-23,1,167,INR,86455,432684.0
2018-08-03,1,157,INR,7541,459776.0
2018-08-24,1,315,INR,8337,459775.0
2018-09-21,1,630,INR,19898,420637.0
2018-09-28,1,315,INR,69665,420479.0
2018-11-09,1,157,INR,33769,427606.0
2018-11-16,1,472,INR,3237,531363.0
2018-12-07,1,157,INR,80649,156592.0
2018-12-14,1,157,INR,64737,373319.0
2019-01-25,1,315,INR,49747,508318.0
2019-02-01,1,157,INR,1056,407243.0
2019-02-08,1,472,INR,30521,187915.0
2019-02-15,1,472,INR,76940,461724.0
2019-02-22,1,315,INR,90825,156542.0
2019-03-01,1,472,INR,41955,161405.0
2019-03-08,1,315,INR,33728,462070.0
2019-03-15,1,157,INR,12452,224008.0
2019-03-22,1,315,INR,40286,165533.0
2019-03-29,1,315,INR,53063,225827.0
2019-04-05,1,315,INR,64787,242943.0
2019-04-12,1,787,INR,60994,186286.0
2019-04-23,1,630,INR,39802,166613.0
2019-04-29,1,472,INR,22088,500628.0
2019-05-06,1,315,INR,22337,186289.0
2019-05-10,1,787,INR,6861,165532.0
2019-05-17,1,1102,INR,20697,169281.0
2019-06-03,1,787,INR,85734,408059.0
2019-06-07,1,157,INR,5550,529171.0
2019-06-17,1,315,INR,47992,517814.0
2019-06-24,1,315,INR,49789,167432.0
2019-06-28,1,315,INR,94710,166971.0
2019-07-05,1,472,INR,4533,516171.0
2019-07-12,1,630,INR,97525,226299.0
2019-07-19,1,944,INR,38862,374706.0
2019-07-26,2,1417,INR,94083,473193.0
2019-08-02,2,1417,INR,70963,167412.0
2019-08-09,1,787,INR,1256,503717.0
2019-08-16,1,1259,INR,86135,165530.0
2019-09-02,2,1574,INR,56042,255925.0
2019-09-03,1,630,INR,24835,225921.0
2019-09-06,1,157,INR,86873,549242.0
2019-09-13,2,1417,INR,43518,321587.0
2019-09-20,1,630,INR,4139,439487.0
2019-09-23,200,66111,INR,60230,397980.0
2019-09-27,2,1884,INR,17407,304302.0
2019-10-07,1,944,INR,97062,533186.0
2019-10-28,7,2574,INR,22637,478348.0
2019-11-08,1,630,INR,89402,138890.0
2019-11-15,1,472,INR,22934,553999.0
2019-11-22,1,944,INR,94097,410839.0
2019-11-29,2,1417,INR,69318,137701.0
2019-12-06,1,1259,INR,30973,575990.0
2019-12-13,4,3773,INR,95622,410838.0
2019-12-20,1,315,INR,75375,397258.0
2020-01-09,1,630,INR,67309,133352.0
2020-01-10,1,472,INR,32001,150497.0
2020-01-17,2,2042,INR,27878,383716.0
2020-02-07,1,417,INR,44282,113948.0
2020-02-14,1,310,INR,72118,431552.0
2020-02-28,1,208,INR,7393,412357.0
2020-03-06,1,620,INR,60723,102037.0
2020-03-13,1,620,INR,8510,578207.0
2020-04-03,1,829,INR,35057,565260.0
2020-04-14,4,2694,INR,12548,101351.0
2020-04-20,1,102,INR,75828,480203.0
2020-05-15,2,528,INR,77161,102842.0
2017-10-24,1,380,INR,6335,138891.0
2017-10-25,1,560,INR,26962,143143.0
2017-10-30,1,560,INR,62482,558957.0
2017-11-27,1,1116,INR,49458,489011.0
2017-12-11,1,657,INR,55705,428013.0
2017-12-12,1,560,INR,3659,116273.0
2017-12-19,1,657,INR,15765,478936.0
2018-02-12,1,560,INR,98573,477627.0
2018-10-19,11,6218,INR,7042,437616.0
2017-11-20,7,2426,INR,33021,550910.0
2017-11-24,33,15278,INR,79414,342366.0
2018-11-14,3,3032,INR,5021,557008.0
2019-05-22,2,3194,INR,9751,97199.0
2019-05-23,1,912,INR,90157,134569.0
2019-05-28,1,1824,INR,81405,183009.0
2019-05-29,1,458,INR,22196,174586.0
2019-05-31,3,4444,INR,54311,494588.0
2019-06-03,1,458,INR,7130,102042.0
2019-06-04,1,458,INR,4820,431339.0
2019-06-05,1,1824,INR,51986,109550.0
2019-06-05,2,2667,INR,60272,477628.0
2019-06-06,14,19171,INR,81439,129550.0
2019-06-07,1,458,INR,24228,387674.0
2019-06-11,1,458,INR,85740,183165.0
2019-06-12,1,458,INR,99692,310273.0
2019-06-14,1,1370,INR,6099,293915.0
2019-06-14,2,2667,INR,20384,131676.0
2019-06-17,1,1333,INR,40087,109258.0
2019-06-18,1,597,INR,31820,483552.0
2019-06-18,7,8889,INR,66852,517939.0
2019-06-19,1,1778,INR,20461,154840.0
2019-06-28,7,9130,INR,64296,494001.0
2018-04-23,1,602,INR,96599,489362.0
2018-05-03,2,3227,INR,52610,510109.0
2018-05-04,1,449,INR,21899,249335.0
2018-05-07,1,449,INR,70074,174458.0
2018-05-09,1,449,INR,37250,129691.0
2018-05-11,1,449,INR,72426,139864.0
2018-05-11,7,9880,INR,18079,486482.0
2018-05-16,1,301,INR,62919,109839.0
2018-05-16,6,7954,INR,94707,102219.0
2018-05-17,1,2153,INR,97031,364571.0
2018-05-17,4,5306,INR,41199,413342.0
2018-05-18,1,1801,INR,77922,387177.0
2018-05-23,2,2699,INR,51642,141706.0
2018-05-24,1,1616,INR,76180,501701.0
2018-05-25,2,2245,INR,72634,456922.0
2018-05-26,1,0,INR,59836,102582.0
2018-05-28,1,903,INR,26473,405031.0
2018-05-29,4,5306,INR,79770,263185.0
2018-05-30,3,3778,INR,88503,109549.0
2018-05-31,1,537,INR,83948,487422.0
2018-05-31,1,1417,INR,36470,163436.0
2018-05-31,4,5306,INR,28527,282630.0
2018-06-01,1,472,INR,63006,255651.0
2018-06-01,3,4051,INR,18923,549624.0
2018-06-01,10,14815,INR,94662,413451.0
2018-06-06,3,4495,INR,73355,523044.0
2018-06-07,2,2690,INR,79063,102038.0
2018-06-07,1,1417,INR,38422,403754.0
2018-06-08,1,449,INR,65501,545808.0
2018-06-08,18,23866,INR,390,439417.0
2018-06-11,1,898,INR,74308,390478.0
2018-06-11,3,4940,INR,10829,103649.0
2018-06-13,1,449,INR,18627,430451.0
2018-06-14,1,2153,INR,95761,518548.0
2018-06-14,1,472,INR,65289,518819.0
2018-06-14,1,449,INR,12714,447526.0
2018-06-14,4,5306,INR,44862,102579.0
2018-06-15,3,3602,INR,72306,126128.0
2018-06-18,4,3583,INR,41736,518803.0
2018-06-18,4,4954,INR,52484,377434.0
2018-06-21,1,1889,INR,28492,442180.0
2018-07-18,1,472,INR,69086,129551.0
2018-07-18,1,1352,INR,70248,577891.0
2018-07-19,1,1616,INR,79404,462172.0
2018-07-19,1,449,INR,23302,104481.0
2018-07-23,1,1801,INR,88139,536499.0
2018-07-30,1,1801,INR,89503,532670.0
2019-01-25,1,449,INR,63311,113036.0
2019-02-04,1,449,INR,38163,536328.0
2019-02-20,1,449,INR,41993,109548.0
2019-03-13,1,444,INR,39307,364627.0
2019-03-28,1,444,INR,97619,104147.0
2019-04-30,1,0,INR,95267,553404.0
2017-10-06,1,505,INR,76228,271964.0
2017-10-13,1,1514,INR,88936,102041.0
2017-10-20,1,2023,INR,94962,497063.0
2017-10-27,25,37889,INR,64618,378028.0
2018-02-08,1,593,INR,26758,549633.0
2018-02-16,1,597,INR,75559,143194.0
2018-02-26,1,2389,INR,51444,327008.0
2018-03-01,1,593,INR,13095,497638.0
2018-03-02,1,1194,INR,16154,580202.0
2018-03-05,8,13736,INR,99658,377292.0
2018-03-12,1,1194,INR,82709,102571.0
2018-04-03,1,597,INR,55321,476303.0
2018-04-09,1,597,INR,9717,451742.0
2018-04-13,1,597,INR,22741,451743.0
2018-04-24,17,17472,INR,47750,116272.0
2018-04-26,2,2986,INR,79403,102581.0
2018-04-27,2,2986,INR,11797,508701.0
2018-05-07,1,597,INR,78696,549383.0
2018-05-14,1,1194,INR,36572,440950.0
2018-05-18,1,796,INR,64023,355561.0
2018-05-31,26,26722,INR,44725,462505.0
2018-06-11,1,796,INR,40667,186264.0
2018-06-13,1,796,INR,74544,211142.0
2018-06-14,1,3185,INR,54146,489422.0
2018-06-18,1,796,INR,39568,401391.0
2018-06-22,1,2389,INR,91996,354669.0
2018-06-29,1,3185,INR,1471,519622.0
2018-07-09,2,5574,INR,75222,153339.0
2018-07-13,1,796,INR,95293,443028.0
2018-07-20,1,796,INR,21716,226773.0
2018-07-27,1,796,INR,3973,385197.0
2018-08-03,1,1593,INR,80534,431115.0
2018-10-12,1,514,INR,5105,508583.0
2018-10-17,1,4759,INR,41699,132538.0
2018-10-25,1,1190,INR,93225,394140.0
2018-10-26,1,1190,INR,41086,124500.0
2018-10-31,3,4106,INR,95693,370259.0
2018-11-05,2,5949,INR,17157,533855.0
2018-11-06,2,5949,INR,26770,125180.0
2018-12-07,1,514,INR,91483,263297.0
2018-12-14,1,514,INR,22416,410629.0
2018-12-21,1,514,INR,21591,461084.0
2018-12-28,1,0,INR,14159,499377.0
2019-01-28,1,514,INR,81159,390901.0
2019-02-01,1,514,INR,33026,127306.0
2019-02-08,1,1028,INR,70197,111386.0
2019-02-15,1,2056,INR,68124,308169.0
2019-02-22,1,796,INR,31683,537808.0
2019-02-22,1,1542,INR,26824,433648.0
2019-03-01,1,514,INR,20053,115931.0
2019-03-08,1,1028,INR,20595,579047.0
2019-04-12,1,796,INR,64678,174464.0
2019-06-03,1,796,INR,57538,163435.0
2019-06-17,1,1593,INR,1389,417015.0
2019-06-24,1,796,INR,27107,376602.0
2019-07-15,1,611,INR,239,546139.0
2019-08-16,1,1028,INR,21233,102578.0
2019-09-27,1,514,INR,29788,503432.0
2019-10-04,1,514,INR,41340,514288.0
2019-10-18,1,514,INR,36937,552372.0
2019-10-21,1,796,INR,17267,385938.0
2019-10-25,1,796,INR,66837,164297.0
2019-11-01,1,514,INR,35279,579040.0
2019-11-04,1,796,INR,93608,539663.0
2019-11-08,1,1593,INR,26109,120193.0
2019-11-08,1,514,INR,32256,102631.0
2019-11-15,1,3185,INR,60760,189441.0
2019-11-15,1,514,INR,30203,102039.0
2019-11-18,1,514,INR,98708,127463.0
2019-12-06,2,4778,INR,45289,109387.0
2019-12-06,1,514,INR,98692,306094.0
2019-12-13,4,10352,INR,49142,102577.0
2019-12-20,1,796,INR,68017,242722.0
2020-06-12,1,1028,INR,71065,528374.0
2020-06-16,1,514,INR,45681,355563.0
2018-06-05,33,29648,INR,76291,417020.0
2017-10-10,240,143560,INR,82777,385636.0
2017-10-11,7,6204,INR,30666,546127.0
2017-10-16,1,495,INR,6590,195788.0
2017-10-23,20,25130,INR,51094,102040.0
2017-10-25,1,986,INR,3896,414252.0
2017-11-02,13,23898,INR,90057,484449.0
2017-11-03,1,296,INR,43718,530955.0
2017-11-08,1,356,INR,20705,554195.0
2017-10-10,100,41241,INR,92578,450591.0
2018-05-08,3,-1,INR,357,509389.0
2018-04-06,1,875,INR,73050,385811.0
2018-04-11,1,583,INR,38727,419356.0
2018-06-18,6,7176,INR,71407,103646.0
2017-11-23,39,21412,INR,89997,120977.0
2017-11-27,35,19213,INR,23396,372399.0
2017-11-28,310,170185,INR,65386,455954.0
2017-11-29,184,101194,INR,76708,292480.0
2017-11-30,35,19213,INR,44323,512637.0
2017-11-29,17,9426,INR,21594,372402.0
2017-12-19,1,218,INR,33803,530390.0
2018-08-07,5,3093,INR,7671,372748.0
2017-12-04,58,30306,INR,77012,236464.0
2018-06-29,38,52319,INR,33103,257314.0
2018-07-02,93,126296,INR,23660,525290.0
2018-07-03,79,107500,INR,75074,372401.0
2018-07-04,1,273,INR,45986,566600.0
2018-07-06,3,3574,INR,37307,187581.0
2018-07-13,1,273,INR,5009,364460.0
2019-06-07,20,23403,INR,33457,350908.0
2019-07-29,81,76329,INR,4443,103645.0
2019-08-01,5,4542,INR,25386,547588.0
2019-09-19,18,16579,INR,70923,363377.0
2019-09-27,90,105301,INR,32671,365286.0
2017-10-09,1,185,INR,62918,174578.0
2017-10-13,1,556,INR,64287,207907.0
2017-10-27,1,551,INR,85714,480302.0
2017-11-03,1,167,INR,68740,229462.0
2017-11-06,1,333,INR,69686,509922.0
2017-11-10,1,500,INR,12259,244302.0
2017-11-16,1,333,INR,35344,229475.0
2017-11-17,1,333,INR,9088,417740.0
2017-11-27,1,500,INR,24769,388007.0
2017-12-04,1,833,INR,50624,300380.0
2017-12-08,1,167,INR,5811,190030.0
2017-12-11,1,833,INR,83331,180225.0
2017-12-18,1,1000,INR,66009,186918.0
2017-12-27,2,1833,INR,76381,383698.0
2017-12-28,1,167,INR,40866,365232.0
2018-01-05,1,167,INR,11018,383695.0
2018-01-08,1,833,INR,17420,551764.0
2018-01-22,1,167,INR,84389,546062.0
2018-02-21,26,10657,INR,16476,193441.0
2018-02-23,1,167,INR,461,165411.0
2018-08-03,1,157,INR,34583,127035.0
2018-08-24,1,315,INR,1140,281294.0
2018-09-21,1,630,INR,34365,383696.0
2018-09-28,1,315,INR,25837,383699.0
2018-11-09,1,157,INR,43993,406415.0
2018-11-16,1,472,INR,1656,400606.0
2018-12-07,1,157,INR,19158,127034.0
2018-12-14,1,157,INR,37140,496555.0
2019-01-25,1,315,INR,8319,368710.0
2019-02-01,1,157,INR,25322,302166.0
2019-02-08,1,472,INR,34568,116271.0
2019-02-15,1,472,INR,34540,332173.0
2019-02-22,1,315,INR,99740,512784.0
2019-03-01,1,472,INR,42835,394530.0
2019-03-08,1,315,INR,17023,385163.0
2019-03-15,1,157,INR,75186,414910.0
2019-03-22,1,315,INR,37337,437594.0
2019-03-29,1,315,INR,84163,367523.0
2019-04-05,1,315,INR,57605,370137.0
2019-04-12,1,787,INR,41023,530618.0
2019-04-23,1,630,INR,47164,484451.0
2019-04-29,1,472,INR,78967,472498.0
2019-05-06,1,315,INR,19311,381376.0
2019-05-10,1,787,INR,26444,423682.0
2019-05-17,1,1102,INR,6563,472852.0
2019-06-03,1,787,INR,94769,109260.0
2019-06-07,1,157,INR,42597,110560.0
2019-06-17,1,315,INR,71000,518550.0
2019-06-24,1,315,INR,13451,568511.0
2019-06-28,1,315,INR,653,369083.0
2019-07-05,1,472,INR,28963,109771.0
2019-07-12,1,630,INR,30377,492183.0
2019-07-19,1,944,INR,86094,152803.0
2019-07-26,2,1417,INR,25079,164125.0
2019-08-02,2,1417,INR,80312,350307.0
2019-08-09,1,787,INR,81715,502166.0
2019-08-16,1,1259,INR,33376,531799.0
2019-09-02,2,1574,INR,69029,380534.0
2019-09-03,1,630,INR,35281,394135.0
2019-09-06,1,157,INR,18749,153648.0
2019-09-13,2,1417,INR,66146,556855.0
2019-09-20,1,630,INR,49872,489107.0
2019-09-23,200,66111,INR,88104,569383.0
2019-09-27,2,1884,INR,30000,531219.0
2019-10-07,1,944,INR,27589,500770.0
2019-10-28,7,2574,INR,86321,553063.0
2019-11-08,1,630,INR,10466,237779.0
2019-11-15,1,472,INR,94974,442389.0
2019-11-22,1,944,INR,89592,547753.0
2019-11-29,2,1417,INR,78942,166205.0
2019-12-06,1,1259,INR,14284,173008.0
2019-12-13,4,3773,INR,41986,361206.0
2019-12-20,1,315,INR,15826,153653.0
2020-01-09,1,630,INR,73049,279448.0
2020-01-10,1,472,INR,89028,493220.0
2020-01-17,2,2042,INR,38725,124383.0
2020-02-07,1,417,INR,41101,555105.0
2020-02-14,1,310,INR,31987,326486.0
2020-02-28,1,208,INR,21695,520872.0
2020-03-06,1,620,INR,75245,530620.0
2020-03-13,1,620,INR,65549,479984.0
2020-04-03,1,829,INR,38986,152804.0
2020-04-14,4,2694,INR,63504,432868.0
2020-04-20,1,102,INR,28966,424993.0
2020-05-15,2,528,INR,82951,300432.0
2017-10-24,1,380,INR,90874,532330.0
2017-10-25,1,560,INR,92898,256769.0
2017-10-30,1,560,INR,6894,559895.0
2017-11-27,1,1116,INR,26576,251915.0
2017-12-11,1,657,INR,38410,134577.0
2017-12-12,1,560,INR,29675,523072.0
2017-12-19,1,657,INR,86444,476268.0
2018-02-12,1,560,INR,803,412598.0
2018-10-19,11,6218,INR,14358,452854.0
2017-11-20,7,2426,INR,92104,354044.0
2017-11-24,33,15278,INR,36827,553046.0
2018-11-14,3,3032,INR,74728,288425.0
2019-05-22,2,3194,INR,14635,481576.0
